#########################
# B -> J/psi K Mag Down
#########################
### baseline
PrChecker.Downs...   INFO                UT+T_strange>5GeV :   19600 from    24738 [ 79.2 %]     30 clones [ 0.2 %], purity: 97.54 %, hitEff: 98.88 %
PrChecker.Downs...   INFO              noVelo+UT+T_strange :   17945 from    25343 [ 70.8 %]     12 clones [ 0.1 %], purity: 97.49 %, hitEff: 98.68 %
PrChecker.Downs...   INFO         noVelo+UT+T_strange>5GeV :   12022 from    15493 [ 77.6 %]     11 clones [ 0.1 %], purity: 97.54 %, hitEff: 98.84 %
PrChecker.Downs...   INFO                       UT+T_fromB :   39549 from    48857 [ 80.9 %]     67 clones [ 0.2 %], purity: 97.77 %, hitEff: 99.11 %
PrChecker.Downs...   INFO                  UT+T_fromB>5GeV :   31901 from    37521 [ 85.0 %]     60 clones [ 0.2 %], purity: 97.82 %, hitEff: 99.20 %
PrChecker.Downs...   INFO                noVelo+UT+T_fromB :    7294 from    10646 [ 68.5 %]      7 clones [ 0.1 %], purity: 97.70 %, hitEff: 98.77 %
PrChecker.Downs...   INFO           noVelo+UT+T_fromB>5GeV :    5372 from     6880 [ 78.1 %]      5 clones [ 0.1 %], purity: 97.76 %, hitEff: 98.99 %
PrChecker.Downs...   INFO                     UT+T_SfromDB :    9232 from    11681 [ 79.0 %]      9 clones [ 0.1 %], purity: 97.71 %, hitEff: 98.97 %
PrChecker.Downs...   INFO                UT+T_SfromDB>5GeV :    6986 from     8407 [ 83.1 %]      8 clones [ 0.1 %], purity: 97.74 %, hitEff: 99.03 %
PrChecker.Downs...   INFO              noVelo+UT+T_SfromDB :    6289 from     8068 [ 77.9 %]      4 clones [ 0.1 %], purity: 97.69 %, hitEff: 98.90 %
PrChecker.Downs...   INFO         noVelo+UT+T_SfromDB>5GeV :    4944 from     6027 [ 82.0 %]      4 clones [ 0.1 %], purity: 97.73 %, hitEff: 99.01 %

PrChecker.BestDown   INFO **** BestDown                       111444 tracks including         46046 ghosts [41.3 %], Event average  36.0 % ****
PrChecker.BestDown   INFO                             UT+T :   46455 from   415167 [ 11.2 %]     45 clones [ 0.1 %], purity: 97.45 %, hitEff: 93.82 %
PrChecker.BestDown   INFO                        UT+T>5GeV :   24961 from   252785 [  9.9 %]     37 clones [ 0.1 %], purity: 97.53 %, hitEff: 94.97 %
PrChecker.BestDown   INFO                     UT+T_strange :   18803 from    43679 [ 43.0 %]     10 clones [ 0.1 %], purity: 97.58 %, hitEff: 94.70 %
